Format Version,1.22,Take Name,big_HJH2_fullset_Ground_FID_clean,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,08 Dec 1969 22:54:33 -0500,Total Frames in Take,6822,Total Exported Frames,6822,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.108333,0.078167,-0.331622,-0.940146,0.006559,-0.039924,1.365460,-0.279996,-0.057489,1.457371,-0.193898,-0.064265,1.488423,-0.155549,-0.103668,1.517378,-0.121882,-0.051628,1.542547,-0.087158,-0.057439,1.457390,-0.193871,-0.064351,1.488388,-0.155598,-0.096067,1.518275,-0.120494,-0.051593,1.542562,-0.087137,,,,,,,,,,,,,,,,-0.063006,1.287385,-0.475018,-0.007412,1.358996,-0.471987,0.048367,1.284114,-0.471008
27,0.112500,0.078158,-0.331628,-0.940141,0.006996,-0.039870,1.365446,-0.280049,-0.057483,1.457350,-0.193953,-0.064273,1.488400,-0.155605,-0.103689,1.517326,-0.121928,-0.051658,1.542540,-0.087222,-0.057433,1.457366,-0.193930,-0.064359,1.488366,-0.155652,-0.096079,1.518263,-0.120564,-0.051623,1.542557,-0.087199,,,,,,,,,,,,,,,,-0.063010,1.287387,-0.475016,-0.007416,1.359001,-0.471988,0.048358,1.284119,-0.471016
28,0.116667,0.078357,-0.331760,-0.940080,0.006686,-0.039858,1.365394,-0.280060,-0.057478,1.457326,-0.193997,-0.064276,1.488388,-0.155660,-0.103699,1.517341,-0.122013,-0.051676,1.542539,-0.087283,-0.057430,1.457343,-0.193973,-0.064360,1.488354,-0.155707,-0.096097,1.518249,-0.120633,-0.051642,1.542555,-0.087260,,,,,,,,,,,,,,,,-0.063017,1.287380,-0.475022,-0.007419,1.358996,-0.471992,0.048354,1.284125,-0.471017
29,0.120833,0.078525,-0.331853,-0.940034,0.006611,-0.039826,1.365347,-0.280083,-0.057475,1.457297,-0.194043,-0.064286,1.488366,-0.155714,-0.103720,1.517327,-0.122088,-0.051710,1.542529,-0.087343,-0.057427,1.457312,-0.194021,-0.064368,1.488332,-0.155762,-0.096122,1.518227,-0.120704,-0.051676,1.542547,-0.087319,,,,,,,,,,,,,,,,-0.063021,1.287380,-0.475026,-0.007427,1.358982,-0.472001,0.048349,1.284107,-0.471028
30,0.125000,0.078752,-0.331963,-0.939978,0.006383,-0.039792,1.365302,-0.280105,-0.057465,1.457274,-0.194094,-0.064289,1.488353,-0.155776,-0.103734,1.517333,-0.122179,-0.051737,1.542527,-0.087409,-0.057419,1.457290,-0.194071,-0.064367,1.488321,-0.155821,-0.096142,1.518216,-0.120773,-0.051705,1.542542,-0.087387,,,,,,,,,,,,,,,,-0.063033,1.287387,-0.475036,-0.007434,1.358989,-0.472009,0.048344,1.284121,-0.471029
31,0.129167,0.078901,-0.332018,-0.939945,0.006430,-0.039747,1.365273,-0.280136,-0.057458,1.457253,-0.194142,-0.064298,1.488336,-0.155830,-0.103757,1.517313,-0.122247,-0.051773,1.542521,-0.087467,-0.057411,1.457272,-0.194116,-0.064379,1.488302,-0.155879,-0.096163,1.518208,-0.120845,-0.051739,1.542536,-0.087446,,,,,,,,,,,,,,,,-0.063041,1.287373,-0.475042,-0.007443,1.358991,-0.472013,0.048341,1.284113,-0.471037
32,0.133333,0.079117,-0.332157,-0.939880,0.006184,-0.039723,1.365219,-0.280146,-0.057453,1.457228,-0.194187,-0.064304,1.488323,-0.155886,-0.103773,1.517322,-0.122334,-0.051800,1.542522,-0.087530,-0.057407,1.457244,-0.194164,-0.064382,1.488290,-0.155933,-0.096188,1.518194,-0.120910,-0.051768,1.542538,-0.087507,,,,,,,,,,,,,,,,-0.063053,1.287367,-0.475045,-0.007451,1.358986,-0.472023,0.048326,1.284113,-0.471042
33,0.137500,0.079266,-0.332236,-0.939838,0.006307,-0.039670,1.365183,-0.280170,-0.057447,1.457203,-0.194233,-0.064316,1.488303,-0.155940,-0.103801,1.517296,-0.122401,-0.051844,1.542519,-0.087591,-0.057403,1.457221,-0.194207,-0.064393,1.488267,-0.155991,-0.096206,1.518185,-0.120984,-0.051812,1.542537,-0.087568,,,,,,,,,,,,,,,,-0.063062,1.287372,-0.475060,-0.007462,1.358982,-0.472030,0.048318,1.284112,-0.471051
34,0.141667,0.079433,-0.332372,-0.939777,0.006192,-0.039643,1.365127,-0.280183,-0.057442,1.457173,-0.194277,-0.064323,1.488285,-0.155996,-0.103817,1.517292,-0.122481,-0.051871,1.542518,-0.087657,-0.057395,1.457190,-0.194253,-0.064405,1.488249,-0.156046,-0.096228,1.518175,-0.121055,-0.051837,1.542536,-0.087633,,,,,,,,,,,,,,,,-0.063069,1.287373,-0.475061,-0.007475,1.358982,-0.472037,0.048305,1.284108,-0.471052
35,0.145833,0.079609,-0.332474,-0.939726,0.006143,-0.039603,1.365088,-0.280198,-0.057435,1.457152,-0.194319,-0.064330,1.488272,-0.156047,-0.103838,1.517286,-0.122553,-0.051905,1.542521,-0.087716,-0.057388,1.457170,-0.194293,-0.064414,1.488234,-0.156100,-0.096250,1.518161,-0.121124,-0.051870,1.542539,-0.087690,,,,,,,,,,,,,,,,-0.063084,1.287364,-0.475067,-0.007489,1.358988,-0.472040,0.048294,1.284117,-0.471063
